"codprod";"descricao_produto";"unidade";"data_saida";"quantidade";"preco_custo";"preco_vendido";"valor_desconto";"nome_cliente";"cidade_cliente";"bairro_cliente";"vendedor"
"20233";**ELETRODUTO CORRUG 25MM ELETROLUX;MT ;2023-11-26;9.000;0.990;1.250000;0.18;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DANIEL ROCHA
"21005";**SUP MAO FRANCESA 38.5 X 23.5 CM BRANCO ;UN ;2024-06-15;1.000;4.640;12.500000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;BRENO
"04221";TORN PLAST. BICA P/PAREDE HERC BR 2750;UN ;2024-06-24;2.000;9.380;28.050000;2.81;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ANDERSON
"12064";LAMP HIGH LED TKL 225 / 40W 6500K E27;UN ;2024-06-24;2.000;8.871;23.990000;2.40;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ANDERSON
"09015";ASSENTO SANT. ECO UNIVERSAL OCRE;PC ;2024-06-24;1.000;15.033;35.190000;1.76;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ANDERSON
"16276";KIT VARAO 28 DUPLO 3 MT BRANCO;UN ;2024-06-24;1.000;51.670;132.000000;6.60;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ANDERSON
"13664";BUCHA PLASTICA C/ANEL 10MM ;UN ;2024-06-21;2.000;0.050;0.250000;0.06;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ADRYAN
"13650";PARAFUSO CH PH AA PB 4,2X13 RI ZB CISER;UN ;2024-06-20;10.000;0.088;0.550000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;BRENO
"07876";CANO SOLDAVEL 25MM KRONA 6M;MT ;2023-10-11;0.500;8.468;27.990000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;LEONARDO
"03968";LAPIS CARPINTEIRO LUFKIN LARANJA;UN ;2023-11-09;1.000;0.754;2.500000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;CARLOS
"00973";CHUVEIRO BCO S/REG HERC 1/2 30CM 2318;UN ;2023-11-20;1.000;3.678;8.530000;0.09;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DANIEL ROCHA
"12158";SPOT EMBUTIR REDONDO ALLTOP LED MR11 3W 3000K 38;UN ;2024-01-04;1.000;5.727;15.400000;0.07;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;LEONARDO
"15721";**SORVETE COPO 200 ML ;UN ;2023-12-19;1.000;2.890;5.990000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ADRYAN
"15704";**PICOLE KIDS;UN ;2024-02-21;1.000;1.300;1.640000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ADRYAN
"00256";COLA P/ CANO PVC 17G POLYTUBES;UN ;2024-05-19;1.000;1.210;2.750000;0.04;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DANIEL ROCHA
"15774";ESPACADOR NIVELADOR 1,0 MM SMART;UN ;2023-08-04;1.000;10.671;28.490000;0.31;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DAIANE
"15774";ESPACADOR NIVELADOR 1,0 MM SMART;UN ;2023-08-23;1.000;10.671;28.490000;1.39;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;DANIEL ROCHA
"05300";CORDAO PARALELO 2X1.00MM BC COBRECOM;MT ;2023-08-04;10.000;1.050;2.750000;0.07;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;GUSTAVO BRASIL
"13664";BUCHA PLASTICA C/ANEL 10MM ;UN ;2024-07-09;8.000;0.050;0.250000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ADEMILSON
"21024";FECH RES BELLA 40 ESP EXT CIL 712E33455CR;UN ;2024-07-09;1.000;36.975;73.990000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;ADEMILSON
"10098";GUARDA SOL FASHION;UN ;2023-11-17;1.000;31.789;59.990000;3.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;TESTE 01
"13277";PARAF MAD 3,5X30 CHIPBOARD PZ VONDER;UN ;2023-08-04;6.000;0.038;0.170000;0.00;CLIENTE CONSUMIDOR;TUTOIA ;MONTE CASTELO;GUSTAVO BRASIL
